,nr_of_guests,price_without_symbol,minimum_nights,availability_365,number_of_reviews,nr_of_reviews_last12months,review_scores_rating,review_scores_location,K-Means_cluster
0,4,190.0,1,207,18,3,4.56,4.94,0
1,10,579.0,6,45,1,1,5.0,5.0,0
2,8,450.0,6,309,10,4,5.0,5.0,0
3,2,52.0,3,69,2,2,5.0,5.0,0
4,3,67.0,30,266,60,14,4.62,4.77,1
5,3,88.0,3,285,31,31,4.68,4.45,1
6,4,229.0,1,124,4,4,5.0,5.0,0
7,12,320.0,4,222,83,18,4.69,4.7,0
8,3,119.0,1,269,1,1,5.0,5.0,0
9,6,86.0,5,215,40,6,4.18,4.36,0
10,2,160.0,3,177,73,8,4.96,4.88,1
11,10,1112.0,1,365,6,2,4.67,5.0,0
12,3,161.0,1,326,28,17,4.68,4.64,0
13,5,170.0,1,239,2,1,5.0,5.0,0
14,2,54.0,2,83,3,3,4.67,4.33,0
15,1,49.0,1,348,22,22,4.14,4.68,1
16,6,120.0,7,201,38,8,4.74,4.13,0
17,6,316.0,1,70,1,1,4.0,5.0,0
18,8,199.0,7,242,21,3,4.81,4.71,0
19,2,126.0,3,195,101,30,4.8,4.84,1
20,2,163.0,1,321,28,17,4.82,4.64,0
21,2,121.0,1,203,1,1,5.0,5.0,0
22,5,103.0,1,330,10,10,4.3,4.2,0
23,2,50.0,1,304,115,107,4.62,4.88,1
24,8,271.0,1,130,10,0,5.0,4.9,0
25,2,94.0,5,63,12,9,4.75,4.83,0
26,11,1724.0,5,236,7,3,5.0,4.86,0
27,8,215.0,1,216,22,14,4.91,4.73,0
28,4,186.0,3,282,18,18,4.89,4.72,0
29,6,418.0,1,354,21,8,4.86,4.76,0
30,8,200.0,5,307,41,1,4.46,4.8,0
31,2,57.0,5,164,218,22,4.89,4.75,1
32,2,147.0,1,282,4,0,4.75,4.5,0
33,4,111.0,3,333,50,17,4.76,4.92,1
34,8,196.0,5,120,2,0,5.0,4.5,0
35,2,71.0,1,334,9,4,4.78,4.89,0
36,6,245.0,7,335,2,0,5.0,4.0,0
37,6,203.0,1,149,12,5,4.33,4.75,0
38,10,325.0,5,81,14,0,5.0,4.5,0
39,6,180.0,6,183,18,11,5.0,4.71,0
40,5,150.0,5,271,26,0,4.73,4.69,0
41,5,94.0,5,319,14,14,4.43,4.86,0
42,4,185.0,4,123,11,2,4.18,4.64,0
43,4,60.0,7,28,93,3,4.85,4.8,0
44,6,122.0,1,208,24,12,4.96,4.75,0
45,6,185.0,5,128,29,5,4.83,4.45,0
46,4,160.0,6,137,23,0,4.65,4.7,0
47,2,60.0,1,143,11,11,4.82,4.91,0
48,8,200.0,3,192,159,22,4.92,4.75,1
49,8,243.0,1,297,34,18,4.85,4.59,0
50,2,120.0,4,235,202,34,4.98,4.95,1
51,4,100.0,2,230,494,54,4.52,4.87,1
52,10,890.0,5,288,1,0,5.0,5.0,0
53,6,214.0,1,344,3,3,4.33,4.33,0
54,1,52.0,1,210,38,21,4.89,4.76,1
55,10,150.0,1,0,7,2,3.86,4.29,0
56,6,182.0,1,213,1,0,5.0,3.0,0
57,4,155.0,4,50,62,6,4.76,4.71,0
58,2,54.0,2,174,7,7,3.86,4.29,0
59,5,120.0,3,192,54,3,4.93,4.93,0
60,2,88.0,1,185,13,3,4.38,4.46,0
61,6,222.0,3,299,30,13,4.97,4.93,0
62,6,242.0,1,234,2,0,5.0,5.0,0
63,6,163.0,4,170,28,13,4.93,4.86,0
64,5,190.0,4,100,47,11,4.94,4.79,0
65,2,106.0,5,221,12,4,4.83,4.75,0
66,6,135.0,1,285,1,1,1.0,5.0,0
67,4,145.0,5,322,10,1,4.6,4.7,0
68,6,183.0,1,148,15,5,5.0,4.6,0
69,6,365.0,1,36,7,2,5.0,4.86,0
70,4,85.0,7,172,3,3,5.0,4.33,0
71,4,123.0,1,364,1,1,4.0,5.0,0
72,4,121.0,30,99,122,6,4.93,4.98,1
73,1,48.0,3,264,53,39,4.68,4.92,1
74,2,45.0,1,364,7,7,4.29,3.86,0
75,6,2000.0,7,81,5,1,5.0,5.0,0
76,8,383.0,6,89,25,10,4.56,4.64,0
77,8,221.0,5,207,4,0,5.0,4.75,0
78,6,434.0,1,167,19,8,4.89,4.74,0
79,6,270.0,7,262,1,1,4.0,4.0,0
80,6,266.0,1,111,7,0,4.43,4.86,0
81,6,177.0,7,83,5,0,4.4,5.0,0
82,5,81.0,5,251,51,9,4.51,4.38,0
83,3,90.0,7,103,14,4,4.64,4.43,0
84,8,816.0,1,50,4,2,5.0,4.75,0
85,3,105.0,1,340,19,2,4.26,4.42,0
86,6,131.0,5,266,29,4,4.55,4.72,0
87,5,168.0,1,149,39,9,4.82,4.62,0
88,2,111.0,4,189,1,1,5.0,5.0,0
89,4,195.0,6,113,52,12,4.94,4.85,0
90,9,270.0,6,193,96,24,4.84,4.8,1
91,8,238.0,3,214,15,7,5.0,5.0,0
92,6,236.0,1,223,11,11,4.82,4.45,0
93,10,705.0,1,119,1,1,5.0,5.0,0
94,4,243.0,3,326,4,4,4.75,3.75,0
95,5,285.0,3,94,17,10,4.71,4.82,0
96,6,1500.0,7,226,11,1,4.27,4.27,0
97,6,131.0,1,190,14,4,4.43,4.29,0
98,2,43.0,5,79,20,20,4.85,4.9,1
99,6,126.0,1,65,1,1,4.0,4.0,0
100,7,220.0,7,94,19,3,4.79,4.79,0
101,6,103.0,1,277,12,2,4.58,4.5,0
102,6,180.0,4,91,96,22,4.97,4.85,1
103,12,295.0,1,353,2,0,5.0,4.5,0
104,2,75.0,3,242,43,3,4.56,4.51,0
105,10,400.0,3,84,85,17,5.0,4.88,0
106,2,101.0,5,321,43,17,4.84,5.0,1
107,10,1215.0,1,35,1,1,4.0,5.0,0
108,6,271.0,1,233,9,3,5.0,4.56,0
109,7,350.0,6,243,24,5,4.92,4.88,0
110,10,500.0,5,177,14,0,4.93,4.86,0
111,4,224.0,1,119,50,6,4.7,4.58,0
112,4,150.0,6,136,13,6,4.69,4.85,0
113,7,150.0,7,205,90,10,4.79,4.61,0
114,8,201.0,1,99,25,5,4.68,4.68,0
115,6,593.0,7,150,1,1,5.0,5.0,0
116,3,111.0,1,365,1,1,2.0,5.0,0
117,6,200.0,7,81,3,0,5.0,5.0,0
